WAFER ID,LOT ID,Cassette,SLOT,STATUS,DATA TYPE,RECIPE,RCP CNT,MEAS SET,MATERIAL,SITE,Site #,Value,Value, X , Y 
7/12/2018 10:40,EAP00016_OXP,Port 1,1,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,43,43,994.8842,0.9908,141.9913,-38.0458
7/12/2018 10:40,EAP00016_OXP,Port 1,1,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,44,44,996.9238,0.9908,147,0.0006
7/12/2018 10:40,EAP00016_OXP,Port 1,1,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,45,45,1011.1309,0.9909,141.991,38.047
7/12/2018 10:40,EAP00016_OXP,Port 1,1,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,46,46,1008.1799,0.9908,127.3054,73.5006
7/12/2018 10:40,EAP00016_OXP,Port 1,1,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,47,47,1003.5361,0.9906,103.9443,103.9452
7/12/2018 10:40,EAP00016_OXP,Port 1,1,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,48,48,1012.0131,0.9908,73.4994,127.3061
7/12/2018 10:40,EAP00016_OXP,Port 1,1,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,49,49,1010.2758,0.9907,38.0458,141.9913
7/12/2018 10:40,EAP00016_OXP,Port 1,2,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,1,1,1008.4051,0.9912,0,0
7/12/2018 10:40,EAP00016_OXP,Port 1,2,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,1,2,1002.2835,0.991,-0.0001,49
7/12/2018 10:40,EAP00016_OXP,Port 1,2,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,2,3,1002.3305,0.991,-34.6483,34.648
7/12/2018 10:40,EAP00016_OXP,Port 1,2,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,3,4,1005.1202,0.9911,-49,-0.0001
7/12/2018 10:40,EAP00016_OXP,Port 1,2,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,4,5,1010.8896,0.9911,-34.648,-34.6483
7/12/2018 10:40,EAP00016_OXP,Port 1,2,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,5,6,1014.6099,0.9912,0.0001,-49
7/12/2018 10:40,EAP00016_OXP,Port 1,2,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,6,7,1012.7339,0.9911,34.6483,-34.648
7/12/2018 10:40,EAP00016_OXP,Port 1,2,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,7,8,1007.6346,0.991,49,0.0001
7/12/2018 10:40,EAP00016_OXP,Port 1,2,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,8,9,1004.0378,0.991,34.648,34.6483
7/12/2018 10:40,EAP00016_OXP,Port 1,2,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,9,10,997.748,0.991,-0.0003,98
7/12/2018 10:40,EAP00016_OXP,Port 1,2,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,10,11,997.864,0.991,-37.5034,90.5401
7/12/2018 10:40,EAP00016_OXP,Port 1,2,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,11,12,997.2783,0.9911,-69.2967,69.2962
7/12/2018 10:40,EAP00016_OXP,Port 1,2,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,12,13,998.0135,0.9911,-90.5404,37.5026
7/12/2018 10:40,EAP00016_OXP,Port 1,2,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,13,14,998.7532,0.9911,-98,-0.0004
7/12/2018 10:40,EAP00016_OXP,Port 1,2,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,14,15,1003.9084,0.991,-90.5401,-37.5034
7/12/2018 10:40,EAP00016_OXP,Port 1,2,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,15,16,1011.8832,0.9911,-69.2962,-69.2967
7/12/2018 10:40,EAP00016_OXP,Port 1,2,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,16,17,1017.0878,0.9909,-37.5026,-90.5404
